id_supermanzana,pobtot,geom,lat_centroide,lon_centroide
001,0.0,0106000020E6100000020000000103000000010000007C0000007B829E51C4B455C0B716FAE95E2B3540F987C5F9C3B455C05AB7C19C502B3540DBCE4B4BC4B455C0403BA2BF4E2B35401A21E0D3C5B455C05D882894502B3540D3B8DEA1C6B455C010A92C63512B3540E1227E71C7B455C01E974409522B354007F490BBC8B455C064D1639D522B3540FCAE097BC9B455C010DFFACE522B35408530A581CAB455C04638FFF8522B3540C688C7DCCAB455C0B9A52E03532B354066AB22FDCCB455C0CD5060A2532B354083026202CEB455C06CD9B874532B35403666240FCFB455C041D76C1A532B354041C01BC2CFB455C04036C6C4522B35404DEC202CD1B455C0178E00D8512B3540E58FB8D9D1B455C029C7D659512B35407D8046D2D2B455C0A3C7A557502B35407E4198C5D3B455C01C77501A4F2B354098AB6346D5B455C04C6E3E004D2B354037F0CFBCD5B455C012F2B8704C2B354079245287D6B455C017D5583F4B2B3540DD8D810BD7B455C0CAE179594A2B3540B7A4DE8CD7B455C04DE4DA5C492B3540541AEB85D8B455C025CB6B25472B3540C0A92267D9B455C04E80AAD8442B354000994116DAB455C0CCC1937F422B3540F3E73BB5DAB455C0851D45E83F2B3540CD038815DBB455C08412B50F3E2B3540FAEBFD65DBB455C0330AE8283C2B35409BE30FAADBB455C0B4DFE48C3A2B354013E374B8DBB455C005DAFA353A2B35401E5C49BCDBB455C08ECFCE1E3A2B3540D78A1E61DCB455C0CC3B62453A2B354007AB9A1CDDB455C06D3FE92C6A2B35406A9EB373DDB455C060435041802B354080DFE56FDDB455C0BF794B32812B354095ACEA69DDB455C02A49A522822B35405413C361DDB455C0F8B91B12832B3540182B7157DDB455C042316100842B35402013F84ADDB455C077B933ED842B35408AFC5C3CDDB455C0D67D4DD8852B354069FEA12BDDB455C0D7C464C1862B35400B52CD18DDB455C0B57D3BA8872B3540DF28E403DDB455C02FF2878C882B354081BCECECDCB455C00530086E892B35405F4FEED3DCB455C007467A4C8A2B35402824F0B8DCB455C0916198278B2B3540B87CF99BDCB455C06E5428FF8B2B354008AD137DDCB455C0932FE8D28C2B35405200475CDCB455C0E10296A28D2B3540C9D29D39DCB455C068A3F76D8E2B3540EB802215DCB455C0A804CF348F2B3540ED66DFEEDBB455C0A6FBE1F68F2B354087E9DFC6DBB455C0E23FFAB3902B35408376309DDBB455C093A8DD6B912B3540E272DC71DBB455C0C70B521E922B35405A54F144DBB455C022E628CB922B354037917C16DBB455C062F12B72932B3540B4968AE6DAB455C08EC72813942B35401AEC2AB5DAB455C086E7F0AD942B3540A00F6C82DAB455C06BB05942952B35404F775B4EDAB455C071BD30D0952B354029BB0A19DAB455C0FC335357962B3540B05988E2D9B455C0BE9192D7962B3540D5E1E4AAD9B455C076DCCF50972B35400096655BC7B455C09F93782CB62B35400978EB51C7B455C0CCD9A534B62B3540ADDC5F48C7B455C0F2D5943BB62B354092DEC53EC7B455C0D9A94141B62B354037861E35C7B455C02138B045B62B354071006F2BC7B455C0DFE1D448B62B3540395EB921C7B455C0396CB74AB62B354084BA0018C7B455C08617504BB62B3540192F480EC7B455C0EDA9A64AB62B3540D9CD9104C7B455C04644B748B62B3540FCC2E2FAC6B455C0960A7E45B62B3540B8163CF1C6B455C0DAC00241B62B3540FDF4A2E7C6B455C0806C453BB62B3540CC5D17DEC6B455C0A50D4634B62B3540C97C9ED4C6B455C0258B082CB62B3540536C3BCBC6B455C056E88C22B62B3540663DF0C1C6B455C055EADA17B62B3540E501BFB8C6B455C0E0B1EE0BB62B3540D9E4ACAFC6B455C0C8E8D3FEB52B35405AEFBAA6C6B455C0BCAE86F0B52B3540E53AEC9DC6B455C064AB12E1B52B3540D9E14395C6B455C007E277D0B52B35402EF5C38CC6B455C0C317BEBEB52B3540C4977084C6B455C07432E9ABB52B3540D0D14A7CC6B455C01CF60098B52B35405FBD5574C6B455C07B470983B52B35402A6B936CC6B455C028CD0D6DB52B35409DFE0765C6B455C003AA0A56B52B35404676B35DC6B455C06145133EB52B354048F59956C6B455C0A7A32725B52B35408E83BC4FC6B455C03F6A530BB52B35405F321D49C6B455C0E37C9AF0B42B3540391BBF42C6B455C0318308D5B42B3540174FA43CC6B455C04C42A5B8B42B35401BCDCC36C6B455C08E5E7C9BB42B35401FB83C31C6B455C0CEBD917DB42B35400A18F52BC6B455C08505F15EB42B354013F5F626C6B455C0BBF9A13FB42B3540D7564322C6B455C05621B41FB42B35406557DD1DC6B455C016612BFFB32B3540AAFEC519C6B455C0745E13DEB32B3540C14BFD15C6B455C0D7BD77BCB32B3540604F8512C6B455C0C825649AB32B3540811A600FC6B455C0535BE077B32B35407BA38C0CC6B455C0DF01F854B32B3540FEFA0C0AC6B455C0DDBFB631B32B3540F928E207C6B455C0DF3A280EB32B3540CE2C0C06C6B455C0B03554EAB22B35401E0E8C04C6B455C054374AC6B22B354054CC6103C6B455C0A70212A2B22B35408E668D02C6B455C0103CB77DB22B354033ED1002C6B455C09B6B4959B22B3540174EEA01C6B455C0DF51D034B22B3540F1991B02C6B455C08D955710B22B35404ABEA202C6B455C0BDD8EAEBB12B3540D4CB8103C6B455C00BC295C7B12B35401DB0B604C6B455C0A1F363A3B12B3540C781EC6CC4B455C0E109E5FE632B35407B829E51C4B455C0B716FAE95E2B354001030000000100000024000000A603920395B455C05CA1314F172B3540DAF48A84A4B455C08C2C38DF122B35407F710746A7B455C07B6B9C82132B3540AD55E985AAB455C0ADB6BED0162B35409D44A0C9ACB455C06ABAB5661A2B35409C2FCC70B0B455C0E6103FF6202B3540C917B01EB3B455C0224E8D67272B35400F6445F6B7B455C00EEB390F392B3540369A07B3BBB455C0AC76D452482B3540273D73FDBCB455C0FB0FEE964C2B3540BE3CA799C2B455C097A646045B2B3540E613C3CCC2B455C0F27D3179662B3540079E0B5DC4B455C0B65C2221B52B3540FFEC126CC4B455C0B2A09422B72B354036D04A25C4B455C042DB5C24BA2B3540AFF97F71C3B455C083C86EC5BC2B3540A4BE24A4C2B455C074958D2DBE2B354001A468B3B3B455C048C766DFD72B3540E1E4C6A888B455C0378FC833212C35400636E44787B455C082C4429B222C354014143A2786B455C00EDC4BFA222C35404A77B14A85B455C0B08DBD4F222C354056AC25D583B455C085F1AE64202C354015E5E70B82B455C08C0A84401B2C35408B5C191F81B455C0108FE792142C35405DCBAAD280B455C0929EC79D0D2C3540D6021D9D81B455C07BA166E6DE2B3540BFEEEA1884B455C08AF141E2492B3540817E1DC984B455C071F7A4F2362B3540D6165E0886B455C0D9F733AC2E2B35409E37EF9687B455C0032F8FF5272B354019C0F16C88B455C033EF9238252B35400A11CB638AB455C08558EBBE1F2B3540A9EA2FE08CB455C021F4874A1B2B35402398C4EC8FB455C0F0A0E27B182B3540A603920395B455C05CA1314F172B3540,21.170111343919967,-86.82262032767402
002,114.0,0106000020E610000001000000010300000001000000410000008C92FDEBC2B455C0956C6E25F1293540A98A1DDDC3B455C003D8845DF0293540F35ED238C5B455C0CF6AEBC5EF293540FF2E639AC5B455C0FF3D72D4EF293540CB66B934C6B455C0215BF874EF2935407BE46854C7B455C059283367EF293540CD9A0F13C8B455C03CEDE8A7EF2935402EF1540DC9B455C0398411F3EF293540B2D32C6BCBB455C074C64FBCF12935405DA5A049CDB455C044607C6AF429354004A73990CFB455C0F14B3D10F9293540A7249DBBD1B455C0524BDC56FF293540D89675D1D3B455C059B6E7CE072A3540C4F398D1D5B455C07F0CE3A9142A3540DD522AE6D6B455C04AC292D7262A35403FD4458DD7B455C0818ABE9C4D2A3540B45D578BD8B455C091025C647C2A3540C09961C0DBB455C0A51866DD262B3540E1681038DAB455C0281A9A15352B3540349E5A3BD9B455C0CF387FC83A2B354028E3E0E8D8B455C095EAE4ED3B2B35408C981D6DD7B455C0E931928A402B3540A527410ED6B455C087583E9B432B35401E5B7280D4B455C05155E67A452B3540EA2D024ED2B455C0541BEB69472B3540AE7569B6CEB455C0C7217FD84A2B35402DBE8481CCB455C05C6A233E4D2B35404A43249FCBB455C053392BA74D2B35400349357FC9B455C0651BEF984D2B35409E60C073C8B455C0369570094D2B3540EBF4193EC7B455C0C9C034564C2B3540D85D1550C6B455C0D121CA0A4B2B3540485C3D5DC4B455C0D89E2111492B3540383A299DC3B455C0801448DC472B3540ACE248E4C2B455C0432A03B3462B3540AB9ADEFFC1B455C0B5041FDC442B3540C3E2ACC6C0B455C04A8A9116422B3540B9FA43EEBEB455C04B26FE853C2B354090E654F8BDB455C0B7C870C8382B354039FEB645BDB455C0F2A93C58352B3540CA3F68A6BCB455C01031452C322B3540B6C0CC91BBB455C0C9EE8BD0282B3540B7B60070BBB455C0AAFE8A56262B35403EA06C1FBBB455C0F3FB2E9C1E2B35404E0FB03EBBB455C0C06B0E40172B35400339AADEBBB455C0AB6D0B520F2B3540B2D58D0ABDB455C019B8E2E6002B35407438F425BEB455C047E8B1D4EF2A354082605A76BEB455C08287F352E82A35409824DEE7BEB455C099A05BD0D32A3540D0CE1979BEB455C0B6B2C40BAF2A35401EED2B28BDB455C040C06E0B6B2A3540F2F47CD6BBB455C0250DF3D0212A3540434DE482BBB455C010F224B0172A35406B38E8C3BBB455C0806369180C2A35407AE3E39ABCB455C0D5EDEBE2042A35402F9FB217BDB455C0A42EE289012A3540CF67449DBDB455C0AED53595FE293540D6B17D19BEB455C07239506EFC2935408601A89CBEB455C0A664E429FA29354056686135BFB455C00FC8BE47F82935405FC5DE73C0B455C07D09641AF52935404CD73645C1B455C0E5A0BF2BF329354089F4AB98C2B455C068E4B080F12935408C92FDEBC2B455C0956C6E25F1293540,21.166565616243286,-86.82488919446418
002-A,891.0,0106000020E6100000010000000103000000010000003100000006683F18BBB455C0AB701231B02A35408A7EC846BBB455C042127FE3CC2A3540F93EF817BBB455C09F1E4BCAD22A35402D1F9DCDBAB455C0DEF53D95D82A3540D948B608BAB455C07B4375FEE22A3540FB9AF88CB9B455C0129258F4E72A3540C04E98D2B8B455C0EEEC6FB2ED2A354023DE2EBFB7B455C0071BED6AF42A3540F92283EDB5B455C0C1FCE5FFFB2A354085B8CB16B4B455C0C9BB38C1002B35407805B922B1B455C09E1D27F8052B354007C163EFAEB455C0CDBA0689072B354038624C09ACB455C06963041D072B35404ADC053AA7B455C0FFF30A76042B354001829E9391B455C0F4EB65C4062B3540BDDB59348FB455C08C2F7252062B354018F8E4F58CB455C0142E0857042B3540BB403CE58AB455C059F9A73C002B354003B04D5089B455C08F673087FB2A354072B3398687B455C031607F08F32A3540359DD1A986B455C0B9151BCAEA2A3540F9088D2186B455C054A2E232E32A35405CB5F91A86B455C0FF5E7535DA2A35402C0C00E586B455C01FCB2001AC2A3540982D491A88B455C00FC23424652A3540092A3BB288B455C045B0EA3A472A3540F1BE63C988B455C00B2D6E2C3E2A3540D59F783B89B455C0D5D73067272A35409A680FA789B455C0A3E05D98202A35409E025B4A8AB455C0CA88F2681A2A3540DAFAA58C8BB455C0F81B0E61112A3540E496A8998DB455C02DCBD93F082A354015EBFBD18FB455C0F27391A9002A354052EC857E92B455C0ED58D368FB29354052F3394395B455C0DF5FF19BF8293540D3C60C8E97B455C04C89AFBAF729354001403C2A9BB455C0426FA1A7F72935402DE0C2159DB455C02CAE0CD1F629354024E475B1A6B455C07D175395FA293540FF7B6E96ACB455C0FD6E54F8FA293540F1DA129AB1B455C053B9925EFB293540FA6F81DFB3B455C08180D582FE29354055462313B5B455C0D0266878012A3540A9DE90B7B6B455C06F0924DE082A3540ECAFC08BB7B455C00DC491B70E2A3540D6C300EFB7B455C0BF48DA62152A35400A6C6A1EB8B455C0E40E176E222A3540EF50032ABAB455C0F83FA9418D2A354006683F18BBB455C0AB701231B02A3540,21.166064614681318,-86.82231082673111
345,,0106000020E61000000100000001030000000100000013000000023DD2DE9EB855C02B28000131113540A4DBA071A2B855C09F33AEF93E1135405A1F8A75AAB855C04B551D505E113540E540C0C6B3B855C01F842E7D92113540C809FA89BAB855C0ABD760F2CB11354053CE9A8ABEB855C09DBECAF00812354078FBF4ADBFB855C07DBC96E13D123540D081D454BFB855C07D7A7B5460123540B8783C2CBCB855C073FA711FA212354010FF520C43B855C080B94B435E1235408BA18D8041B855C04A214BB9001235408C375D7843B855C06B454B3163113540280F8C564BB855C0B9317AEFDF103540C5F36DFD4EB855C06489E202A310354075557C9854B855C04E871D45A8103540B13C48A26EB855C06F547055C9103540F43F367D7EB855C08F4E3926E5103540542DBD5C91B855C099373FF00B113540023DD2DE9EB855C02B28000131113540,21.06929514274276,-86.88257201183275
343,,0106000020E6100000010000000103000000010000000B000000CFA03E9B3FB855C05300F7788713354073195AB7BEB755C0F4FA2D5F40133540313F0C4EBBB755C0804E86253D133540C71BD3EAB6B755C0BB2DBE9130133540D4B4DAF5B1B755C0D39030A92813354059588AF8B9B755C076E4A5BF64123540AAF887C1E8B755C0E082E6317B123540EC1DBE39E9B755C03CAC15B46F123540176B3F1739B855C07557C2B59B123540454C97903CB855C04C7E8F990F133540CFA03E9B3FB855C05300F77887133540,21.073995116164596,-86.87465011764394
003,514.0,0106000020E6100000010000000103000000010000004000000029BF0368BAB455C060457A8EAF2935407A711513BAB455C08CF113D0B6293540396A5B3AB9B455C065ECA985BE293540E390BA95B8B455C0C23FF828C72935406E89142BB7B455C02742D935CE2935400E80E470B5B455C0D6E8C11ED6293540C5CC784FB3B455C0CF551E01DD2935404F249855B1B455C0EC389171E129354014E0691CAFB455C0C212282DE52935401CE7B350ACB455C0248A7685E82935404AAF8EEDAAB455C0A106366CE9293540194CF54CA6B455C0A21331ECE82935406D8C7E329AB455C07DCCD4F1E52935409AFCF98E97B455C090FFE99BE429354090B95A9095B455C0F4DC5E4FE2293540BA50D53B94B455C053221625E029354065D0E13A92B455C0B049D3E4DB2935400577E0B58FB455C0A603CDF2D3293540E5D798388EB455C09D4E4243CD29354032F670E18CB455C0656D46ADC429354033774CF38BB455C0F629B137BC293540445D356E8BB455C09F8DBD32B42935405D73555C8BB455C06D36E6F8AA2935400AD76E978BB455C0E97208C191293540B7CEB6138CB455C00754E2FE76293540ED3211478DB455C0B40246FB3329354022AC2EB08EB455C015B37A03E6283540D01A56AE8FB455C0A4DC6773A6283540379107CF90B455C0AFC2623F64283540F0F74A9091B455C014E3DD2B38283540FB22B8D091B455C085E72F002628354009F4130492B455C080CBD5191C2835408BD0F72492B455C0A368928A182835403D4D389D92B455C0CD24F66612283540AAAF146D93B455C0DF9ECA1F0D283540BE120DC293B455C066460E6A0B2835405226047894B455C0899FCC4F08283540127311FB95B455C0652915A603283540FFD6BED396B455C0126EB6DE01283540A4C7483D99B455C05F4F14D0FE273540BAA2C1499AB455C09776BE61FE27354042B5075C9BB455C00D0FC58CFE27354053F3DD549CB455C06E8D25F3FE273540EDCA81109DB455C06E63129EFF27354091FFD2DBA3B455C0B1B0D4A908283540C2164103ABB455C00FDF7A9F12283540FEA77EEAACB455C006F4227A162835402FBCF8A7AEB455C0490227681B2835405277A04AB0B455C0E962BA9A212835403FDEBB87B1B455C001DEF5D0272835405CEDF9CFB2B455C0AD101C602F28354031E1F9A4B3B455C076E27E21372835404C2E8F3AB4B455C06CCC4FDA3E28354093168E12B5B455C00793B4454D2835400875A295B5B455C07E60AD8A57283540E9785757B7B455C0A1A175047428354034136A3DB8B455C0F47375CC8C2835407D873182B8B455C01B7FE52F9228354064FCC5F4B9B455C0B2A39869BB2835409C928C78BCB455C0EA3755AAFF28354064976779BCB455C0F8BC67A42D29354082207F55BCB455C0033BE060522935403E7E5A38BCB455C041D430278329354029BF0368BAB455C060457A8EAF293540,21.16021714889794,-86.8225040126631
004,726.0,0106000020E61000000100000001030000000100000035000000A7B68D13C4B455C0A5B9AA9B042835406F289282B4B455C0DD52126CEF273540E9481B6EA8B455C01F81947CDF2735402A6DEB34A6B455C03A4BC96DDC273540625FCDE6A2B455C088D44A30D8273540183DAD0CA1B455C01FF94CE3D52735408DDA9EDC9EB455C022046702D3273540C4C5C71C9DB455C00A2A6C8BD0273540E1C662359BB455C084C67C99CD273540DC739BC998B455C0011D9B04C9273540A8BB3D8396B455C0BFBE8D3EC1273540C7DA593395B455C001C5E36DB9273540D45BE44E94B455C0263C8D09AF2735406A99033D94B455C06BA5E9AAA42735406239A63195B455C017C1AA056B2735407F99CF6096B455C03B71F84324273540188E00A797B455C0E4181D6ADD2635408E582E2A98B455C0BE3A8FFEB9263540719E899099B455C0FE8FF20C75263540A32E64EB99B455C0D3601B4F702635400A95A8DF9AB455C0955DC3DD692635408E7D0F029CB455C0C2934A6B652635407B3ABE739DB455C0A1069DC66126354018E84FF29DB455C0DEF776E0602635406CCD81189FB455C02A18F6945F2635402A184FA7A0B455C0491D35975E26354067F4CC34A2B455C047B427E35E263540958FF6D0AAB455C0C769796C63263540BC4AAA48B6B455C066612BD96826354039381885BEB455C060285A516D263540A8B669A1C0B455C02BC35C08702635405636FB06C3B455C0124156C076263540A0316C91C4B455C06E4BFBF87E2635408AF8F780C5B455C0BC9706488826354076BD20C1C5B455C034323A3E902635406CCAE8E5C5B455C02862ED42992635403BB65D60C6B455C0A53123D7B4263540F08C8A69C8B455C0828AEF9C1F273540877A287CC9B455C04E8DAF9D662735406D6122E3C9B455C02B55FA866C273540B4750B97CAB455C059518B0990273540C7A39918CBB455C090317D28AD27354050AAB2DBCBB455C03192D22ED827354064AE8823CCB455C08E4D2836E82735404E3A8350CCB455C079DF7A3BF2273540727ABBB7CBB455C071414789F8273540CECDB362CBB455C072113F13FB273540FE60B36ACAB455C0FA76CFC2FF2735407D071A8BC9B455C03A24A8470228354061244BEFC7B455C0D86FBFFD04283540CF944D54C6B455C0C1C8B0C805283540DB1F657FC5B455C08236E7D005283540A7B68D13C4B455C0A5B9AA9B04283540,21.15309246974414,-86.8232625914935
004-A,532.0,0106000020E6100000010000000103000000010000004A00000000A91AD593B455C0A63BBB4D7026354078AB21868FB455C0976B2FFA6E273540115319448FB455C02D1BD3999C27354030A265518FB455C0CCF01AA3A5273540E6C2841D8FB455C025D59878AA273540EB666DA28EB455C0FB01B2A7AF2735404435A6B28DB455C072657128B72735401203ECBD8CB455C0F3769202BC273540EA2D2D008BB455C0D7829EA8C2273540331AAB8A88B455C08DF5E7F1C727354015A7003986B455C05BEC981BCA273540529997C87FB455C0E72A2D7CCF273540FBF63AA97CB455C03AEBAA07D2273540B348288B7AB455C0A0DE1A78D3273540F84065DE78B455C0EE27C750D327354002675A9677B455C07C048DEFD1273540E7F8B47176B455C0310891EECF273540132C80F275B455C093FCB572CE27354024DB9B9774B455C0A42239FBC927354008A237E173B455C06AEC3008C62735403F5DBF4773B455C00715B418C1273540BD8CFD9172B455C08D58FAF8B42735404E61B4F671B455C09B3AE824AB273540EE18558771B455C0B1852287A427354069D751ED70B455C05A5B52D19527354021ACCCAD70B455C0C76FF44B8827354038C3732C71B455C03DC881C9672735408BCF09F771B455C05DB2EE3F3F273540FFDB680A72B455C0A3D0B70F2A273540238E658B71B455C0AD63FA98212735401537A07570B455C0C228588E162735405FC7877B69B455C063583588EC263540A8808B2E61B455C0794A32C4B92635404292E74D60B455C0FCFD8D6DB026354020B245ED5FB455C0D8666A9CAB263540088F919D5FB455C026E43F98A52635409936FC5E5FB455C0C48D04CE9D2635407AF951725FB455C07B8CA2D8952635400C7575895FB455C0869373528C26354011646B1860B455C0E1533D5A6426354028A3952560B455C0E86DCD0C5126354088B3B37760B455C02722360C4A263540E914A40F61B455C0330BCA69442635400D78AFAB61B455C071051F3640263540D6BADFE162B455C0D5D61B4238263540F897D24B63B455C05BB873BB35263540C062A1B963B455C0FE9BBEEA332635402FDF345864B455C0CF0EA64B31263540F1275DAA65B455C0636323BD2E263540799BD28766B455C090A7E63A2E26354029772B8867B455C0D6392FBF2E263540FB228C5A68B455C0A3493193302635404483FB9469B455C0B9DCAF4E332635407FBE4F966AB455C0AA67248B352635408BF9778A6BB455C01D6E4BAA37263540E77A70C36CB455C0257087623A2635404CA7B7446EB455C0F57FEC593D263540D56F410171B455C05795E92E422635401A4C114973B455C0576C6294452635408ADFF00B77B455C00DF7637C4A263540960AB45E7BB455C037B615F24E263540895D6F317FB455C04977745A51263540305C47C980B455C08A3C63DF51263540149BEE9484B455C0F056C817532635408FD01D9C84B455C05F61E9E952263540F30CA1358AB455C0FB50E33D542635406014A14E8CB455C0202018D5542635401976EAFB8DB455C0FC64C43556263540D6269AC28EB455C041FCB4E256263540EAC6B2C78FB455C034B7ACB8582635406E07454091B455C0E8449C775C263540A1D9C47192B455C0FF357B2661263540A755128A93B455C0E3645F1A6A26354000A91AD593B455C0A63BBB4D70263540,21.15210142586027,-86.82008661291685
004-B,0.0,0106000020E6100000010000000103000000010000004900000053BC24BB5CB455C0BD3F81F541263540CEA409795CB455C0BC03C6CC45263540C9D60E175CB455C0DA81C5564C263540AFFFE7E45BB455C045E115D955263540B4A9BE875BB455C0C172382D62263540A78ABE655BB455C0F97AF6FD812635402EF6E1845BB455C0F59B75F4A6263540D8EFAA3A5CB455C0266A8F71B22635401950D65C5DB455C031EEFB33BB263540EB0D38945EB455C0646B93B3C4263540173DACA25FB455C0B4308EF3CC2635407D16079561B455C0D9E6B604D926354070EEBACC69B455C04451354E0A273540813B9A516DB455C04A7B8104212735404EB1C3C16DB455C08EFCE7EA29273540AE2EA8A66DB455C051327E6F432735409445EDDB6CB455C0D6BA6A039C2735409B547B446DB455C03EF2CD58A2273540BE6499F26EB455C0B4B4AC60BE273540409AF8306FB455C0B932BE53C327354081F71BF86EB455C090A83545CD2735400793B65B6EB455C0F0E7F0FBD22735409EE4C21D6DB455C0C2315541D92735407E24C7EC6BB455C0DFC9A8E1DC273540A78D0F0C6AB455C041AE1122E02735407439087766B455C0A4DB0F41E327354033AD131363B455C0408E70DAE527354069D28F8260B455C0010442D5E927354099C863E15DB455C03E03ECE9ED273540BFD894C15AB455C0323063CFF3273540D8B3E8BF57B455C05F87C8B0FA273540974B9A4855B455C0E8B6EED000283540DB1BB9A751B455C0F81E3DD4092835409853AA634EB455C041290B93112835407D5D81FF4BB455C0D4D86723162835409367B71047B455C0EBFC51CB1C2835404218553342B455C0A6B2D309212835401104476135B455C0754999A82B28354064FC94B424B455C099D4DF383A283540D2B8E9E51CB455C05DF21CEB40283540D71108CF19B455C0432BE5073F2835404C4F575B16B455C03E182F533A283540571BB2E514B455C0C1A2BCBC38283540DA063BBB12B455C0317560CE372835400CBEB19910B455C02346CEA7382835406E168E030DB455C07E9D57EE3C28354090DA1D760AB455C0DA89BF173C28354003BDA44208B455C0FA35CEEF3728354071271B0107B455C0FF567BF83228354061127B0406B455C069B05DC42B283540B17723DFFEB355C009991F37AC2735407C83D841FAB355C0821203086D2735408A85737FF9B355C0500691A95B27354019F6A908F9B355C091C27F0C5127354034B00CEFF8B355C021E0A125472735400FEFAC40F9B355C0DD662C623A273540CBCAB396F9B355C00BB90844342735408EAE9676FAB355C0489132C22927354006CD32CCFBB355C0D47B49F51E273540ED9E5D1AFEB355C07A875C1812273540850E22FE04B455C0C281C2A4FC2635405304364B15B455C0A29BA7F0C42635405D34D95A1BB455C047841CB8AE2635401127955D1EB455C0A53C8A51A0263540B0228A891FB455C03B4903DD97263540092A87F520B455C0C9A4A1A99026354060ACF4C231B455C05CCD65C4562635405B358EDA34B455C0503638A24E2635408CFA5D7238B455C04045072147263540685D05B53CB455C062E216D241263540CF11206E43B455C02F4464B73E263540712C794649B455C04F694D5E3F26354053BC24BB5CB455C0BD3F81F541263540,21.153573917170785,-86.81576685784385
005,12.0,0106000020E6100000010000000103000000010000004900000093E9ED0DBFB455C024F9A6872D283540F4C7BFE7C1B455C035336F4F312835407962725CC4B455C04BF5AB09352835404B97F688C6B455C04B0CC98339283540BEDE0DAEC8B455C0E0E6C8D53F2835408EF59628CAB455C0C055DA7C45283540EA78F81FCCB455C07FAD24894F283540B2A2E457CDB455C0A70576A1582835408711A92BCEB455C0F7401D6C622835409C98A49FCEB455C094E5B4B56C283540EF63D2C7CEB455C0225C781974283540151DF6D9CEB455C0579C959877283540C86252BECFB455C06ABF3485A6283540A14C5CC7D0B455C0A8403DA7DC283540C653E20DD1B455C06F3DFD45EC28354086D9F5B2D1B455C05A30C7270F293540C63ABD35D2B455C044D1BFF329293540161E22AFD2B455C0905370B642293540DBDB6452D3B455C06C47216166293540A70258A5D3B455C0014E34C5762935401E2C148ED4B455C08DC9B1A2A5293540016F2D88D4B455C06B2E3530A92935404764BF5BD4B455C0E222B714AF2935406B88C533D4B455C079FC9A5FB2293540D42DCC03D4B455C093E8FE44B529354092C8B0ACD3B455C07714CE62B92935404D2C1106D3B455C05F24C1D3BE29354074A0663DD2B455C02D98C4F0C3293540509BCA9AD1B455C0C4006742C7293540C667D11CD1B455C02E36F66DC9293540098A9B9ECFB455C0D0EF4AFACE293540D5BC4EB7CEB455C0E7F1579AD12935409D5275CECDB455C07CF855E8D32935403AFB50BACCB455C007888F2AD62935404B1A36F4CAB455C0D763F5D1D8293540F53033E3C7B455C09272FD91DB293540A507AA7BC5B455C0C52AAE57DD29354059F1FC6AC4B455C06AA4C10CDE2935407D1771F7C3B455C0EBA3F405DE293540163F744AC1B455C0F1494216DB2935407B4A1B1EC0B455C030A9F7B8D7293540C1A1DAD8BEB455C0125B90D8D22935409D806F8BBEB455C04961D6D4D029354032E4222DBEB455C0E9D5ECA7CD2935404FAD2DEDBDB455C08557B5F2C9293540637B57E4BDB455C04C1C9440C1293540C91DE00ABEB455C06DE19B42BF2935402E300811BFB455C0D90C0ACB97293540888F5906C0B455C0B4915BDC7229354067489107C0B455C0692623BF6229354008E7D932C0B455C04967A6E02929354015317E28C0B455C00872DB3925293540C1DE2C46C0B455C0113F19C2F5283540000754BFBFB455C08876F9FFF5283540FF12CFB1BDB455C0A08F1404BC2835407A465077BCB455C084841280992835404A8CCEBFBBB455C007863F938428354002BB43F2BAB455C0852C581271283540577A1ECDB9B455C0A5F56D025D28354068E9CC5FB8B455C088C848664528354016DBDD6FB8B455C072240069412835405DE52FAEB8B455C0472307853D2835405FC4252CB9B455C00F3CD753392835408960F5ACB9B455C02E37AF7F36283540CBF515E1B9B455C03AB9C58635283540DF44393EBAB455C0E04E7219342835408029177ABAB455C09B79274A332835403645EF04BBB455C0D0AF44A731283540893B766CBBB455C028BB97B43028354022ECB462BCB455C0F24DCFF82E283540E2709E33BDB455C028893A0C2E28354045EEA741BEB455C04571DB7E2D28354093E9ED0DBFB455C024F9A6872D283540,21.160306608026268,-86.82467284811223
